epoch,stage,active_classes,train_acc_pct,valid_upright_pct,valid_inverted_pct
1,1,12,63.82,63.51,62.67
2,1,12,73.25,67.23,65.6
3,1,12,78.9,81.93,84.01
4,1,12,83.3,81.76,83.33
5,1,12,85.66,81.59,80.29
6,1,12,87.66,86.99,87.56
7,2,24,65.68,70.98,73.33
8,2,24,75.49,68.84,69.86
9,2,24,79.16,63.44,64.04
10,2,24,81.67,79.45,79.58
11,2,24,83.81,69.78,67.52
12,2,24,85.54,83.39,80.45
13,3,48,63.53,65.58,59.59
14,3,48,73.14,71.34,67.19
15,3,48,77.3,74.04,69.09
16,3,48,80.2,78.72,73.78
17,3,48,82.48,76.01,71.75
18,3,48,84.27,77.15,69.97
19,4,96,66.59,68.73,61.46
20,4,96,74.88,67.39,61.32
21,4,96,78.76,72.13,66.67
22,4,96,81.41,75.02,68.92
23,4,96,83.55,80.29,74.1
24,4,96,85.22,75.77,69.68
25,5,192,64.01,67.19,60.37
26,5,192,72.88,70.64,62.75
27,5,192,77.11,67.67,58.93
28,5,192,79.97,69.98,61.71
29,5,192,82.23,74.59,66.93
30,5,192,83.89,73.94,66.38
31,5,192,85.24,57.28,48.76
32,5,192,86.29,73.75,66.11
33,6,320,82.51,71.54,62.19
34,6,320,85.19,72.74,61.68
35,6,320,86.58,73.62,63.4
36,6,320,87.57,74.12,63.04
37,6,320,88.51,75.45,64.74
38,6,320,89.25,76.9,67.01
39,6,320,89.93,74.07,63.15
40,6,320,90.6,75.66,66.57
41,6,320,91.24,75.81,66.22
42,6,320,91.87,77.68,68.26
43,7,393,92.16,73.48,63.97
44,7,393,92.69,76.66,66.67
45,7,393,93.25,76.91,67.44
46,7,393,93.83,76.64,67.52
47,7,393,94.26,77.54,68.12
48,7,393,94.72,77.48,68.16
49,7,393,95.1,78.42,69.21
50,7,393,95.45,77.93,69.44
51,7,393,95.83,79.12,69.65
52,7,393,96.11,78.53,69.6
53,7,393,96.36,78.88,70.07
54,7,393,96.61,78.87,69.55
55,7,393,96.79,78.97,70.46
56,7,393,96.96,79.16,70.88
57,7,393,97.07,79.06,70.55
58,7,393,97.14,79.39,70.91
59,7,393,97.22,79.29,70.83
60,7,393,97.23,79.48,70.9
