epoch,stage,active_classes,category,upright_pct,inverted_pct,gap_pts
1,1,12,Faces,45.83,55.41,-9.57
1,1,12,Objects,67.13,64.31,2.81
1,1,12,Houses,0.0,0.0,0.0
2,1,12,Faces,15.28,14.86,0.41
2,1,12,Objects,75.79,73.53,2.26
2,1,12,Houses,0.0,0.0,0.0
3,1,12,Faces,62.5,67.57,-5.07
3,1,12,Objects,86.22,87.25,-1.03
3,1,12,Houses,0.0,0.0,0.0
4,1,12,Faces,75.0,79.73,-4.73
4,1,12,Objects,83.86,84.71,-0.85
4,1,12,Houses,0.0,0.0,0.0
5,1,12,Faces,72.22,58.11,14.11
5,1,12,Objects,84.06,84.31,-0.26
5,1,12,Houses,0.0,0.0,0.0
6,1,12,Faces,72.22,77.03,-4.8
6,1,12,Objects,90.35,90.0,0.35
6,1,12,Houses,0.0,0.0,0.0
7,2,24,Faces,61.74,67.91,-6.17
7,2,24,Objects,73.85,75.07,-1.23
7,2,24,Houses,0.0,0.0,0.0
8,2,24,Faces,61.74,52.24,9.51
8,2,24,Objects,71.34,73.18,-1.84
8,2,24,Houses,0.0,0.0,0.0
9,2,24,Faces,57.05,55.97,1.08
9,2,24,Objects,65.73,66.0,-0.27
9,2,24,Houses,0.0,0.0,0.0
10,2,24,Faces,79.19,72.39,6.81
10,2,24,Objects,81.16,81.66,-0.49
10,2,24,Houses,0.0,0.0,0.0
11,2,24,Faces,54.36,43.28,11.08
11,2,24,Objects,73.55,71.68,1.86
11,2,24,Houses,0.0,0.0,0.0
12,2,24,Faces,78.52,75.37,3.15
12,2,24,Objects,85.77,82.25,3.52
12,2,24,Houses,12.5,0.0,12.5
13,3,48,Faces,61.13,37.07,24.05
13,3,48,Objects,67.17,63.73,3.44
13,3,48,Houses,0.0,0.0,0.0
14,3,48,Faces,70.43,61.22,9.21
14,3,48,Objects,72.23,69.02,3.21
14,3,48,Houses,6.25,6.25,0.0
15,3,48,Faces,61.46,52.38,9.08
15,3,48,Objects,76.5,72.39,4.1
